"censusblock_id","tr10","tr50","tr500","tr100","tr25","tr2","tr5"
7830,0.8613931512,0.8056134088,0.7213970915,0.7811200786,0.8303459675,0.9156543436,0.884832532
7831,1,1,1,1,1,1,1
7832,1,1,1,1,1,1,1
7833,1,1,1,1,1,1,1
7834,1,1,1,1,1,1,1
7835,1,1,1,1,1,1,1
7836,1,1,1,1,1,1,1
7837,1,1,1,1,1,1,1
7838,1,1,1,1,1,1,1
7839,1,1,1,1,1,1,1
7840,1,1,1,1,1,1,1
7841,1,1,1,1,1,1,1
7842,1,1,1,1,1,1,1
7843,1,1,1,1,1,1,1
7844,1,1,1,1,1,1,1
7845,1,1,1,1,1,1,1
7846,1,1,1,1,1,1,1
7847,1,1,1,1,1,1,1
7848,1,1,1,1,1,1,1
7849,1,1,1,1,1,1,1
7851,1,1,1,1,1,1,1
7852,0.9079177757,0.8798753658,0.8384910262,0.8660813896,0.8938516864,0.9523174036,0.922417937
7853,1,1,1,1,1,1,1
7854,0.7671399898,0.6724876932,0.5360734343,0.6297070659,0.7132931257,0.8607055067,0.8063108821
7855,0.7775550142,0.6916384011,0.5712410292,0.6596467391,0.7294779236,0.8664643039,0.8148930447
7856,0.769719458,0.6735423801,0.533510185,0.6294556791,0.7161604219,0.8642168463,0.8117055975
7857,0.8188687395,0.7386764158,0.6261380959,0.7069131774,0.7693250177,0.8972622006,0.8538305355
7858,0.7945002909,0.7060135757,0.5809481559,0.6661199945,0.7431634648,0.880521377,0.8323103712
7859,0.8104215898,0.7219529214,0.6000922264,0.684876428,0.759515271,0.8915793961,0.8474450695
7860,0.8530555222,0.7878187744,0.6879732502,0.7589398423,0.8151292647,0.9187875729,0.881408875
7861,0.8853087511,0.8296217216,0.7487250683,0.8056896761,0.8531055767,0.9372104663,0.9082133199
7862,0.8704543314,0.8091655655,0.7265229211,0.7832261419,0.8376027945,0.9296811269,0.8964392742
7863,0.847665731,0.7798151681,0.6834959908,0.7498675356,0.8123350311,0.9092746692,0.8749582718
7864,0.8602946515,0.7921142939,0.694074769,0.7619745863,0.8204902282,0.9227066517,0.8872525118
7865,0.8718436236,0.810429281,0.7230041077,0.7853841172,0.8368728258,0.9310719403,0.8952006804
